"artist","museum","gender","ethnicity","GEO3major","year"
"Kikugawa Eishin (Hideyoshi)","Art Institute of Chicago",NA,"asian","Asia and the Pacific",NA
"Gordon C. Abbott","Art Institute of Chicago","man","white","North America","1880"
"Sigmund Abeles","Art Institute of Chicago","man","white","North America","1930"
"Albrecht Adam","Art Institute of Chicago","man","white","Europe","1790"
"Architects David Adler","Art Institute of Chicago","man","white",NA,"1880"
"Vargi A. Aivazian","Art Institute of Chicago","man","white","Europe","1910"
"Cherubino Alberti","Art Institute of Chicago","man",NA,NA,"1550"
"Rudolf von Alt","Art Institute of Chicago","man","white","Europe","1810"
"Emilio Amero","Art Institute of Chicago","man","hispanic","Latin America and the Caribbean","1900"
"Anna Kirstine Ancher","Art Institute of Chicago","woman","white","Europe","1860"
"Master Alejo (Alejo AndA-a?)","Art Institute of Chicago",NA,NA,NA,"1480"
"JirA- Anderle","Art Institute of Chicago",NA,NA,NA,NA
"Appert","Art Institute of Chicago",NA,"white","Europe",NA
"Humberto Aquino","Art Institute of Chicago","man","hispanic","Latin America and the Caribbean","1950"
"ShA>saku Arakawa","Art Institute of Chicago","man","asian","Asia and the Pacific","1940"
"Luis Arenal","Art Institute of Chicago","man","hispanic","Latin America and the Caribbean","1910"
"Spinello Aretino","Art Institute of Chicago","man","white","Europe","1350"
"Siah Armajani","Art Institute of Chicago","man","other",NA,"1940"
"Charles Arnoldi","Art Institute of Chicago","man","white","North America","1950"
"Richard Artschwager","Art Institute of Chicago","man","white","North America","1920"
"Norio Aruma","Art Institute of Chicago","man","asian","Asia and the Pacific","1930"
"Aubin","Art Institute of Chicago","man","white","Europe","1720"
"Master C B","Art Institute of Chicago","man","white","Europe","1500"
"Gottfried BA?hm","Art Institute of Chicago","man","white",NA,NA
"Ludolph BA?sinck","Art Institute of Chicago","man","white","Europe","1600"
"Lutz Bacher","Art Institute of Chicago","woman","white","North America",NA
"Dirk Bakker","Art Institute of Chicago","man",NA,NA,NA
"Tsuchida Bakusen","Art Institute of Chicago","man","asian","Asia and the Pacific","1890"
"Baccio Baldini","Art Institute of Chicago","man","white","Europe","1440"
"Edouard Denis Baldus","Art Institute of Chicago","man","white","Europe","1810"
"George Grey Barnard","Art Institute of Chicago","man","white","North America","1860"
"George N. Barnard","Art Institute of Chicago","man","white","North America","1820"
"Frederick H. Baumann","Art Institute of Chicago","man","white","North America","1830"
"Charles Joseph Beauverie","Art Institute of Chicago","man","white","Europe","1840"
"Fred Beckman","Art Institute of Chicago","man","white","North America","1930"
"William H. Bell","Art Institute of Chicago","man","white","Europe","1830"
"Filippo Bellini","Art Institute of Chicago","man","white","Europe","1550"
"Richard Bentley","Art Institute of Chicago",NA,NA,NA,NA
"Joseph Antoine Bernard","Art Institute of Chicago",NA,"white","Europe","1870"
"NiccolA2 Berrettoni","Art Institute of Chicago","man","white","Europe","1640"
"Thomas Birch","Art Institute of Chicago","man","white","Europe","1780"
"Bartolomeo Biscaino","Art Institute of Chicago","man","white","Europe","1630"
"William Blake","Art Institute of Chicago","man","white","Europe","1760"
"Claude Bogratchew","Art Institute of Chicago","man","white","Europe","1940"
"Ilya Bolotowsky","Art Institute of Chicago","man","white","Europe","1910"
"Guglielmo Borremans","Art Institute of Chicago","man","white","Europe","1670"
"Michael E. Boruch","Art Institute of Chicago","man","white","North America","1950"
"VA!clav BostA-k","Art Institute of Chicago","man","white","Europe","1910"
"Boudry","Art Institute of Chicago",NA,"white","Europe",NA
"Catarina Bremselin","Art Institute of Chicago","woman","white",NA,NA
"Richard Hicks Bridgens","Art Institute of Chicago","man","white","Europe","1780"
"Gary Brotmeyer","Art Institute of Chicago","man",NA,"North America","1950"
"Ray Brown","Art Institute of Chicago","man","white","North America",NA
"Bernard Buffet","Art Institute of Chicago","man","white","Europe","1930"
"Alexander Buquet","Art Institute of Chicago","man","white","Europe","1800"
"Jacob Burck","Art Institute of Chicago","man","white","Europe","1910"
"John Burt","Art Institute of Chicago","man",NA,NA,NA
"Cleo van Buskirk","Art Institute of Chicago",NA,NA,"North America","1910"
"Samuel Butler","Art Institute of Chicago","man","white",NA,"1840"
"Wayne Cable","Art Institute of Chicago","man","white","North America","1960"
"Carlo Calcinotto","Art Institute of Chicago","man","white","Europe","1700"
"Benedetto Caliari","Art Institute of Chicago","man","white","Europe","1540"
"Jacques Callot","Art Institute of Chicago","man","white","Europe","1590"
"David Young Cameron","Art Institute of Chicago","man","white",NA,"1860"
